Date,Price,Open,High,Low,Vol.,Change %
06/26/2024,"9,500","9,525","9,650","9,450",77.91M,-1.04%
06/25/2024,"9,600","9,600","9,600","9,450",80.03M,0.00%
06/24/2024,"9,600","9,600","9,750","9,575",79.59M,0.00%
06/21/2024,"9,600","9,475","9,675","9,400",167.76M,1.86%
06/20/2024,"9,425","9,150","9,425","9,100",81.47M,4.14%
06/19/2024,"9,050","9,250","9,250","9,050",100.05M,-1.63%
06/14/2024,"9,200","9,200","9,250","9,100",52.99M,0.00%
06/13/2024,"9,200","9,475","9,475","9,200",84.65M,-0.54%
06/12/2024,"9,250","9,300","9,325","9,250",49.79M,-0.54%
06/11/2024,"9,300","9,550","9,550","9,300",68.69M,-2.36%
06/10/2024,"9,525","9,500","9,525","9,450",45.58M,2.14%
06/07/2024,"9,325","9,500","9,500","9,325",51.60M,-1.58%
06/06/2024,"9,475","9,525","9,525","9,450",44.99M,0.26%
06/05/2024,"9,450","9,500","9,500","9,300",85.71M,1.07%
06/04/2024,"9,350","9,525","9,525","9,350",75.35M,0.81%
06/03/2024,"9,275","9,350","9,350","9,225",72.20M,0.27%
05/31/2024,"9,250","9,100","9,250","9,025",756.43M,2.78%
05/30/2024,"9,000","9,000","9,250","8,775",207.12M,-1.64%
05/29/2024,"9,150","9,275","9,325","9,150",117.35M,-1.61%
05/28/2024,"9,300","9,300","9,400","9,300",73.95M,0.00%
05/27/2024,"9,300","9,300","9,375","9,275",128.58M,-1.33%
05/22/2024,"9,425","9,475","9,575","9,325",121.71M,0.53%
05/21/2024,"9,375","9,450","9,575","9,375",75.71M,-1.06%
05/20/2024,"9,475","9,700","9,800","9,475",87.89M,-2.82%
05/17/2024,"9,750","9,600","9,850","9,575",99.85M,1.56%
05/16/2024,"9,600","9,575","9,675","9,525",61.13M,1.05%
05/15/2024,"9,500","9,500","9,600","9,425",54.74M,-0.52%
05/14/2024,"9,550","9,625","9,675","9,525",95.36M,0.26%
05/13/2024,"9,525","9,200","9,525","9,200",145.47M,1.60%
05/08/2024,"9,375","9,600","9,700","9,375",112.81M,-3.35%
05/07/2024,"9,700","9,700","9,750","9,625",66.75M,-1.02%
05/06/2024,"9,800","9,850","9,875","9,775",53.08M,-0.51%
05/03/2024,"9,850","9,750","9,850","9,675",84.03M,3.14%
05/02/2024,"9,550","9,900","9,900","9,500",97.08M,-2.55%
04/30/2024,"9,800","10,050","10,050","9,800",109.62M,0.00%
04/29/2024,"9,800","9,525","9,850","9,525",90.06M,1.82%
04/26/2024,"9,625","9,700","9,825","9,625",100.93M,-1.53%
04/25/2024,"9,775","10,000","10,000","9,700",104.87M,-1.76%
04/24/2024,"9,950","9,825","9,950","9,750",132.83M,2.31%
04/23/2024,"9,725","9,400","9,775","9,375",181.70M,4.01%
04/22/2024,"9,350","9,400","9,425","9,350",128.91M,-1.32%
04/19/2024,"9,475","9,350","9,500","9,300",147.78M,0.00%
04/18/2024,"9,475","9,525","9,575","9,450",127.13M,-0.52%
04/17/2024,"9,525","9,550","9,675","9,525",95.62M,0.53%
04/16/2024,"9,475","9,350","9,575","9,250",283.27M,-3.56%
04/05/2024,"9,825","9,950","9,950","9,825",70.43M,-0.25%
04/04/2024,"9,850","9,575","9,850","9,575",77.27M,3.41%
04/03/2024,"9,525","9,750","9,800","9,525",177.42M,-3.79%
04/02/2024,"9,900","9,925","9,950","9,800",76.76M,0.51%
04/01/2024,"9,850","10,075","10,100","9,825",79.25M,-2.23%
03/28/2024,"10,075","10,025","10,100","9,975",79.23M,0.00%
03/27/2024,"10,075","10,025","10,075","10,000",39.51M,0.25%
03/26/2024,"10,050","9,950","10,050","9,950",65.74M,-0.25%
03/25/2024,"10,075","9,925","10,075","9,925",66.97M,-0.25%
03/22/2024,"10,100","10,000","10,125","9,950",120.53M,-0.25%
03/21/2024,"10,125","10,175","10,225","10,050",90.28M,0.00%
03/20/2024,"10,125","10,100","10,150","10,075",66.27M,-0.49%
03/19/2024,"10,175","10,150","10,250","10,150",55.00M,0.25%
03/18/2024,"10,150","10,175","10,275","10,150",62.44M,0.00%
03/15/2024,"10,150","10,200","10,300","10,050",154.18M,-1.69%
03/14/2024,"10,325","10,050","10,325","10,025",110.68M,3.25%
03/13/2024,"10,000","10,400","10,400","10,000",141.62M,-1.48%
03/08/2024,"10,150","10,250","10,300","10,125",100.95M,0.25%
03/07/2024,"10,125","10,050","10,175","10,000",118.37M,1.76%
03/06/2024,"9,950","9,900","10,000","9,775",70.24M,1.53%
03/05/2024,"9,800","9,900","9,900","9,775",61.95M,0.51%
03/04/2024,"9,750","9,800","9,825","9,750",43.82M,-0.76%
03/01/2024,"9,825","9,900","9,925","9,800",51.52M,-0.51%
02/29/2024,"9,875","10,000","10,000","9,850",127.02M,-1.25%
02/28/2024,"10,000","9,975","10,000","9,900",66.95M,1.27%
02/27/2024,"9,875","9,750","9,900","9,750",43.74M,0.77%
02/26/2024,"9,800","9,750","9,875","9,725",53.82M,-0.25%
02/23/2024,"9,825","9,900","9,925","9,800",55.19M,-0.51%
02/22/2024,"9,875","9,975","9,975","9,875",66.91M,-1.00%
02/21/2024,"9,975","9,950","10,000","9,850",75.55M,-0.50%
02/20/2024,"10,025","9,850","10,025","9,850",64.00M,1.52%
02/19/2024,"9,875","9,900","9,975","9,825",53.34M,-0.75%
02/16/2024,"9,950","9,975","10,000","9,875",142.28M,1.02%
02/15/2024,"9,850","9,950","9,975","9,850",164.75M,1.29%
02/13/2024,"9,725","9,750","9,800","9,700",66.07M,-0.77%
02/12/2024,"9,800","9,750","9,800","9,700",99.80M,1.03%
02/07/2024,"9,700","9,700","9,725","9,650",93.32M,0.78%
02/06/2024,"9,625","9,750","9,750","9,625",87.65M,0.52%
02/05/2024,"9,575","9,675","9,675","9,525",57.98M,-1.29%
02/02/2024,"9,700","9,775","9,800","9,625",99.32M,0.00%
02/01/2024,"9,700","9,650","9,725","9,575",109.29M,1.57%
01/31/2024,"9,550","9,700","9,700","9,550",102.58M,-1.04%
01/30/2024,"9,650","9,500","9,650","9,475",73.14M,1.05%
01/29/2024,"9,550","9,400","9,550","9,375",73.45M,2.14%
01/26/2024,"9,350","9,400","9,450","9,300",78.98M,-1.58%
01/25/2024,"9,500","9,450","9,575","9,450",63.21M,-0.26%
01/24/2024,"9,525","9,600","9,600","9,475",84.91M,-0.78%
01/23/2024,"9,600","9,450","9,600","9,450",92.35M,-0.26%
01/22/2024,"9,625","9,600","9,650","9,525",52.87M,0.00%
01/19/2024,"9,625","9,775","9,775","9,600",63.18M,-0.52%
01/18/2024,"9,675","9,675","9,750","9,625",71.05M,-0.77%
01/17/2024,"9,750","9,750","9,750","9,650",107.71M,0.52%
01/16/2024,"9,700","9,700","9,750","9,675",44.87M,-0.26%
01/15/2024,"9,725","9,750","9,750","9,650",88.58M,0.26%
01/12/2024,"9,700","9,650","9,700","9,600",68.25M,1.31%
01/11/2024,"9,575","9,625","9,650","9,575",51.58M,0.26%
01/10/2024,"9,550","9,650","9,650","9,550",52.77M,-0.78%
01/09/2024,"9,625","9,600","9,625","9,575",59.85M,0.52%
01/08/2024,"9,575","9,600","9,625","9,475",50.90M,0.00%
01/05/2024,"9,575","9,500","9,600","9,475",85.29M,1.06%
01/04/2024,"9,475","9,400","9,475","9,375",77.29M,1.34%
01/03/2024,"9,350","9,425","9,425","9,325",34.60M,-0.80%
01/02/2024,"9,425","9,400","9,425","9,350",30.55M,0.27%
12/29/2023,"9,400","9,425","9,450","9,350",79.90M,0.00%
12/28/2023,"9,400","9,325","9,425","9,325",70.18M,0.27%
12/27/2023,"9,375","9,375","9,400","9,325",72.26M,0.54%
