Date,Price,Open,High,Low,Vol.,Change %
06/22/2022,"4,075","4,100","4,138","4,063",88.31M,-1.21%
06/21/2022,"4,125","4,150","4,175","4,100",63.00M,0.00%
06/20/2022,"4,125","4,050","4,125","4,025",74.98M,2.17%
06/17/2022,"4,038","4,088","4,125","4,038",156.84M,-3.58%
06/16/2022,"4,188","4,250","4,250","4,150",186.69M,0.90%
06/15/2022,"4,150","4,063","4,163","4,063",142.40M,1.22%
06/14/2022,"4,100","4,000","4,100","4,000",100.14M,1.23%
06/13/2022,"4,050","4,000","4,050","3,975",122.47M,-0.92%
06/10/2022,"4,088","4,138","4,163","4,075",165.12M,-2.97%
06/09/2022,"4,213","4,200","4,250","4,175",216.80M,0.30%
06/08/2022,"4,200","4,113","4,213","4,075",153.41M,1.20%
06/07/2022,"4,150","4,100","4,175","4,075",132.67M,1.84%
06/06/2022,"4,075","4,100","4,175","4,013",148.78M,-0.61%
06/03/2022,"4,100","4,138","4,150","4,100",147.96M,0.00%
06/02/2022,"4,100","4,163","4,175","4,025",203.02M,-3.53%
05/31/2022,"4,250","4,138","4,250","4,113",262.05M,3.66%
05/30/2022,"4,100","4,100","4,100","4,000",117.62M,1.23%
05/27/2022,"4,050","4,000","4,063","3,975",155.08M,3.18%
05/25/2022,"3,925","3,950","4,025","3,913",132.64M,-0.95%
05/24/2022,"3,963","3,975","4,025","3,950",134.56M,0.63%
05/23/2022,"3,938","4,025","4,038","3,900",144.01M,-1.56%
05/20/2022,"4,000","3,975","4,025","3,975",106.87M,1.27%
05/19/2022,"3,950","3,900","3,963","3,875",127.74M,0.00%
05/18/2022,"3,950","3,988","4,013","3,900",162.52M,0.64%
05/17/2022,"3,925","3,900","4,000","3,900",149.55M,0.64%
05/13/2022,"3,900","3,938","3,950","3,875",165.51M,-0.95%
05/12/2022,"3,938","3,988","4,025","3,863",162.73M,-1.56%
05/11/2022,"4,000","4,050","4,100","4,000",198.92M,-1.23%
05/10/2022,"4,050","3,913","4,088","3,913",498.44M,-2.70%
05/09/2022,"4,163","4,313","4,338","4,163",351.64M,-6.98%
04/28/2022,"4,475","4,388","4,538","4,338",443.16M,8.81%
04/27/2022,"4,113","4,138","4,213","4,113",118.27M,-1.50%
04/26/2022,"4,175","4,125","4,213","4,113",131.93M,1.52%
04/25/2022,"4,113","4,100","4,225","4,013",179.08M,-0.60%
04/22/2022,"4,138","4,100","4,163","4,038",168.30M,-0.30%
04/21/2022,"4,150","4,000","4,200","3,963",337.36M,5.73%
04/20/2022,"3,925","3,825","3,950","3,813",164.35M,3.63%
04/19/2022,"3,788","3,813","3,838","3,788",104.51M,-0.66%
04/18/2022,"3,813","3,838","3,863","3,788",101.50M,-0.65%
04/14/2022,"3,838","3,863","3,875","3,825",63.28M,-0.65%
04/13/2022,"3,863","3,838","3,875","3,825",90.56M,0.32%
04/12/2022,"3,850","3,838","3,875","3,813",92.69M,0.33%
04/11/2022,"3,838","3,850","3,875","3,825",107.97M,-0.32%
04/08/2022,"3,850","3,900","3,900","3,838",94.62M,0.00%
04/07/2022,"3,850","3,838","3,888","3,813",136.16M,0.33%
04/06/2022,"3,838","3,900","3,900","3,825",129.48M,-1.92%
04/05/2022,"3,913","3,900","3,938","3,900",82.38M,0.00%
04/04/2022,"3,913","3,913","3,950","3,888",82.01M,-0.63%
04/01/2022,"3,938","3,950","3,950","3,888",62.91M,-0.32%
03/31/2022,"3,950","3,963","3,988","3,925",69.17M,0.32%
03/30/2022,"3,938","3,975","3,988","3,925",82.48M,-0.63%
03/29/2022,"3,963","3,988","4,013","3,938",160.11M,0.63%
03/28/2022,"3,938","3,938","3,950","3,900",95.35M,0.32%
03/25/2022,"3,925","3,975","3,988","3,888",136.08M,-0.95%
03/24/2022,"3,963","3,850","3,963","3,850",210.91M,1.93%
03/23/2022,"3,888","3,838","3,900","3,825",183.89M,1.30%
03/22/2022,"3,838","3,850","3,875","3,825",112.67M,0.33%
03/21/2022,"3,825","3,838","3,863","3,800",162.36M,-3.47%
03/18/2022,"3,963","3,988","4,000","3,938",212.23M,-0.31%
03/17/2022,"3,975","4,000","4,050","3,975",235.56M,0.00%
03/16/2022,"3,975","3,900","4,025","3,900",291.91M,2.25%
03/15/2022,"3,888","3,900","3,938","3,888",146.74M,0.32%
03/14/2022,"3,875","3,825","3,913","3,813",173.51M,1.31%
03/11/2022,"3,825","3,863","3,863","3,800",122.40M,-0.33%
03/10/2022,"3,838","3,850","3,875","3,800",105.80M,0.66%
03/09/2022,"3,813","3,788","3,863","3,788",115.11M,0.99%
03/08/2022,"3,775","3,813","3,850","3,775",104.07M,0.00%
03/07/2022,"3,775","3,775","3,813","3,750",137.67M,-1.31%
03/04/2022,"3,825","3,850","3,863","3,800",104.91M,0.33%
03/02/2022,"3,813","3,825","3,863","3,775",110.82M,-0.33%
03/01/2022,"3,825","3,838","3,925","3,825",149.53M,-0.65%
02/25/2022,"3,850","3,863","3,875","3,825",163.30M,0.00%
02/24/2022,"3,850","3,863","3,938","3,825",170.30M,-2.22%
02/23/2022,"3,938","3,963","3,975","3,913",85.99M,0.00%
02/22/2022,"3,938","3,913","3,950","3,888",69.48M,0.32%
02/21/2022,"3,925","3,925","3,963","3,925",31.72M,0.00%
02/18/2022,"3,925","3,913","3,975","3,875",81.30M,0.00%
02/17/2022,"3,925","3,938","3,938","3,838",103.04M,0.00%
02/16/2022,"3,925","3,963","3,963","3,875",74.79M,-0.63%
02/15/2022,"3,950","3,900","3,950","3,838",67.80M,1.28%
02/14/2022,"3,900","3,850","3,900","3,813",76.26M,0.97%
02/11/2022,"3,863","3,888","3,888","3,825",81.58M,0.00%
02/10/2022,"3,863","3,850","3,875","3,825",107.68M,0.65%
02/09/2022,"3,838","3,850","3,863","3,800",107.36M,0.66%
02/08/2022,"3,813","3,800","3,863","3,775",158.58M,1.67%
02/07/2022,"3,750","3,825","3,825","3,738",68.87M,0.33%
02/04/2022,"3,738","3,725","3,763","3,700",36.63M,0.00%
02/03/2022,"3,738","3,738","3,738","3,675",60.20M,0.00%
02/02/2022,"3,738","3,763","3,763","3,725",68.77M,0.00%
01/31/2022,"3,738","3,888","3,888","3,725",101.70M,-2.29%
01/28/2022,"3,825","3,813","3,825","3,775",121.15M,1.32%
01/27/2022,"3,775","3,738","3,800","3,700",113.62M,1.00%
01/26/2022,"3,738","3,650","3,738","3,613",140.64M,3.46%
01/25/2022,"3,613","3,600","3,625","3,575",69.27M,-0.69%
01/24/2022,"3,638","3,638","3,638","3,600",44.48M,-0.34%
01/21/2022,"3,650","3,588","3,650","3,563",76.81M,1.74%
01/20/2022,"3,588","3,550","3,588","3,513",53.07M,2.14%
01/19/2022,"3,513","3,588","3,600","3,500",103.09M,-3.10%
01/18/2022,"3,625","3,588","3,625","3,550",64.48M,0.69%
01/17/2022,"3,600","3,625","3,638","3,575",43.19M,0.35%
01/14/2022,"3,588","3,538","3,613","3,538",43.65M,0.70%
01/13/2022,"3,563","3,575","3,588","3,550",35.76M,-0.35%
01/12/2022,"3,575","3,525","3,575","3,525",34.25M,1.42%
01/11/2022,"3,525","3,550","3,550","3,500",50.37M,0.00%
01/10/2022,"3,525","3,538","3,550","3,525",44.38M,0.00%
01/07/2022,"3,525","3,513","3,550","3,513",68.45M,0.36%
01/06/2022,"3,513","3,538","3,538","3,475",65.65M,0.00%
01/05/2022,"3,513","3,575","3,588","3,463",98.91M,-2.09%
01/04/2022,"3,588","3,538","3,600","3,525",44.54M,1.77%
01/03/2022,"3,525","3,550","3,563","3,513",31.00M,0.36%
12/30/2021,"3,513","3,550","3,563","3,513",34.95M,-1.06%
12/29/2021,"3,550","3,538","3,563","3,500",20.86M,0.71%
12/28/2021,"3,525","3,525","3,525","3,488",39.84M,0.71%
12/27/2021,"3,500","3,525","3,550","3,488",34.10M,-0.71%
12/24/2021,"3,525","3,550","3,575","3,475",54.90M,-0.35%
12/23/2021,"3,538","3,525","3,575","3,525",44.57M,0.35%
12/22/2021,"3,525","3,588","3,600","3,525",34.81M,-1.40%
12/21/2021,"3,575","3,575","3,625","3,550",49.86M,1.06%
12/20/2021,"3,538","3,550","3,575","3,538",57.93M,-1.05%
12/17/2021,"3,575","3,613","3,613","3,538",83.95M,-1.38%
12/16/2021,"3,625","3,650","3,663","3,600",69.08M,-0.34%
12/15/2021,"3,638","3,575","3,663","3,563",75.68M,1.39%
12/14/2021,"3,588","3,563","3,600","3,550",65.06M,0.70%
12/13/2021,"3,563","3,600","3,613","3,563",50.09M,-1.04%
12/10/2021,"3,600","3,600","3,613","3,550",93.53M,-2.04%
12/09/2021,"3,675","3,625","3,675","3,563",42.69M,2.80%
12/08/2021,"3,575","3,638","3,650","3,575",56.06M,-2.05%
12/07/2021,"3,650","3,588","3,650","3,588",64.29M,1.74%
12/06/2021,"3,588","3,575","3,625","3,550",52.05M,0.35%
12/03/2021,"3,575","3,600","3,613","3,550",46.11M,-0.69%
12/02/2021,"3,600","3,538","3,625","3,500",70.42M,1.77%
12/01/2021,"3,538","3,500","3,563","3,475",93.12M,1.07%
11/30/2021,"3,500","3,625","3,625","3,475",219.34M,-2.44%
11/29/2021,"3,588","3,550","3,638","3,463",112.67M,1.06%
11/26/2021,"3,550","3,663","3,663","3,538",78.63M,-3.40%
11/25/2021,"3,675","3,613","3,688","3,588",97.47M,2.80%
11/24/2021,"3,575","3,563","3,588","3,550",56.22M,0.00%
11/23/2021,"3,575","3,613","3,638","3,550",63.13M,-2.72%
11/22/2021,"3,675","3,675","3,750","3,613",92.37M,1.38%
11/19/2021,"3,625","3,588","3,650","3,575",101.13M,1.05%
11/18/2021,"3,588","3,600","3,613","3,575",30.91M,-0.69%
11/17/2021,"3,613","3,613","3,625","3,575",72.79M,0.00%
11/16/2021,"3,613","3,525","3,613","3,513",76.14M,2.48%
11/15/2021,"3,525","3,550","3,575","3,525",40.13M,-0.70%
11/12/2021,"3,550","3,638","3,638","3,525",56.81M,-1.73%
11/11/2021,"3,613","3,563","3,613","3,513",86.36M,1.05%
11/10/2021,"3,575","3,438","3,575","3,438",156.12M,4.00%
11/09/2021,"3,438","3,525","3,550","3,425",120.57M,-1.79%
11/08/2021,"3,500","3,600","3,600","3,500",50.52M,-1.41%
11/05/2021,"3,550","3,625","3,625","3,500",48.04M,-1.05%
11/04/2021,"3,588","3,625","3,650","3,588",103.73M,0.70%
11/03/2021,"3,563","3,488","3,625","3,463",107.56M,1.42%
11/02/2021,"3,513","3,588","3,600","3,500",51.92M,-2.09%
11/01/2021,"3,588","3,625","3,625","3,575",65.62M,0.00%
10/29/2021,"3,588","3,588","3,650","3,575",160.95M,2.14%
10/28/2021,"3,513","3,563","3,575","3,500",99.02M,-1.75%
10/27/2021,"3,575","3,600","3,613","3,563",82.93M,-0.35%
10/26/2021,"3,588","3,550","3,600","3,550",55.87M,0.70%
10/25/2021,"3,563","3,588","3,625","3,563",76.30M,-1.04%
10/22/2021,"3,600","3,550","3,613","3,538",65.78M,0.35%
10/21/2021,"3,588","3,588","3,663","3,563",189.26M,-0.35%
10/19/2021,"3,600","3,625","3,625","3,525",99.36M,0.35%
10/18/2021,"3,588","3,600","3,663","3,575",152.95M,0.35%
10/15/2021,"3,575","3,588","3,600","3,538",84.35M,-0.35%
10/14/2021,"3,588","3,563","3,588","3,525",104.31M,1.06%
10/13/2021,"3,550","3,538","3,550","3,475",135.00M,1.43%
10/12/2021,"3,500","3,488","3,525","3,463",191.04M,1.45%
