Date,Price,Open,High,Low,Vol.,Change %
08/12/2025,"4,360","4,220","4,420","4,210",120.91M,3.81%
08/11/2025,"4,200","4,090","4,220","4,080",61.70M,3.19%
08/08/2025,"4,070","4,090","4,100","4,070",43.53M,-1.21%
08/07/2025,"4,120","4,120","4,140","4,100",21.21M,0.49%
08/06/2025,"4,100","4,220","4,230","4,100",27.98M,-2.84%
08/05/2025,"4,220","4,040","4,230","4,040",93.77M,5.24%
08/04/2025,"4,010","4,000","4,030","3,990",30.44M,0.00%
08/01/2025,"4,010","4,050","4,070","4,010",32.30M,0.00%
07/31/2025,"4,010","4,100","4,110","4,010",50.38M,-2.67%
07/30/2025,"4,120","4,150","4,160","4,090",33.92M,-0.72%
07/29/2025,"4,150","4,200","4,200","4,120",27.29M,-1.43%
07/28/2025,"4,210","4,110","4,220","4,090",45.45M,2.93%
07/25/2025,"4,090","4,160","4,180","4,070",48.60M,-3.08%
07/24/2025,"4,220","4,100","4,250","4,080",57.28M,2.93%
07/23/2025,"4,100","4,080","4,100","4,040",23.32M,1.23%
07/22/2025,"4,050","4,090","4,090","4,040",32.61M,-0.49%
07/21/2025,"4,070","4,140","4,140","4,070",35.00M,-1.21%
07/18/2025,"4,120","4,120","4,150","4,100",35.07M,0.24%
07/17/2025,"4,110","4,140","4,140","4,090",25.82M,-0.48%
07/16/2025,"4,130","4,130","4,150","4,080",66.35M,1.98%
07/15/2025,"4,050","4,040","4,070","4,010",30.50M,0.25%
07/14/2025,"4,040","4,190","4,190","4,000",68.38M,-3.35%
07/11/2025,"4,180","4,130","4,220","4,120",48.94M,1.70%
07/10/2025,"4,110","3,980","4,140","3,980",44.06M,2.75%
07/09/2025,"4,000","3,960","4,000","3,950",27.90M,0.76%
07/08/2025,"3,970","3,980","4,020","3,950",27.87M,-0.75%
07/07/2025,"4,000","4,000","4,010","3,930",28.01M,0.00%
07/04/2025,"4,000","3,970","4,010","3,950",30.40M,0.76%
07/03/2025,"3,970","4,010","4,060","3,970",49.95M,-1.24%
07/02/2025,"4,020","4,010","4,040","3,970",31.19M,0.25%
07/01/2025,"4,010","4,120","4,130","4,000",55.71M,-2.67%
06/30/2025,"4,120","4,130","4,130","4,050",53.73M,0.00%
06/26/2025,"4,120","4,110","4,120","4,050",31.91M,0.24%
06/25/2025,"4,110","4,200","4,200","4,060",33.88M,-0.72%
06/24/2025,"4,140","4,160","4,210","4,140",51.93M,1.97%
06/23/2025,"4,060","4,060","4,100","3,970",53.49M,-1.22%
06/20/2025,"4,110","4,120","4,140","4,050",178.50M,-0.48%
06/19/2025,"4,130","4,300","4,300","4,100",87.78M,-3.95%
06/18/2025,"4,300","4,350","4,360","4,250",40.71M,-1.38%
06/17/2025,"4,360","4,400","4,420","4,350",44.88M,-0.91%
06/16/2025,"4,400","4,490","4,490","4,360",90.22M,-3.08%
06/13/2025,"4,540","4,480","4,540","4,450",30.55M,0.00%
06/12/2025,"4,540","4,530","4,540","4,480",29.57M,0.00%
06/11/2025,"4,540","4,530","4,540","4,480",35.01M,0.44%
06/10/2025,"4,520","4,470","4,520","4,450",45.82M,2.26%
06/05/2025,"4,420","4,310","4,420","4,310",36.14M,2.79%
06/04/2025,"4,300","4,420","4,420","4,300",35.50M,-1.60%
06/03/2025,"4,370","4,350","4,380","4,260",42.95M,0.00%
06/02/2025,"4,370","4,480","4,480","4,300",68.99M,-2.67%
05/28/2025,"4,490","4,520","4,540","4,470",63.75M,-0.88%
05/27/2025,"4,530","4,500","4,530","4,460",40.87M,0.67%
05/26/2025,"4,500","4,510","4,520","4,420",36.71M,-0.22%
05/23/2025,"4,510","4,520","4,540","4,480",32.71M,0.89%
05/22/2025,"4,470","4,520","4,540","4,470",42.31M,-1.11%
05/21/2025,"4,520","4,480","4,580","4,470",79.97M,1.57%
05/20/2025,"4,450","4,460","4,570","4,420",81.05M,-0.22%
05/19/2025,"4,460","4,480","4,520","4,430",60.12M,-0.89%
05/16/2025,"4,500","4,530","4,530","4,360",88.96M,0.00%
05/15/2025,"4,500","4,390","4,530","4,390",120.60M,2.97%
05/14/2025,"4,370","4,180","4,370","4,160",179.47M,6.59%
05/09/2025,"4,100","4,120","4,140","4,060",37.79M,-0.49%
05/08/2025,"4,120","4,160","4,220","4,080",78.00M,-0.96%
05/07/2025,"4,160","4,190","4,200","4,140",57.69M,-0.48%
05/06/2025,"4,180","4,220","4,230","4,170",66.44M,-0.71%
05/05/2025,"4,210","4,210","4,280","4,180",60.39M,0.24%
05/02/2025,"4,200","4,220","4,230","4,160",81.97M,0.48%
04/30/2025,"4,180","4,160","4,180","4,080",85.51M,0.97%
04/29/2025,"4,140","4,210","4,220","4,120",61.82M,-1.19%
04/28/2025,"4,190","4,210","4,250","4,170",68.48M,-0.24%
04/25/2025,"4,200","4,200","4,210","4,140",102.07M,0.72%
04/24/2025,"4,170","4,200","4,250","4,120",145.43M,0.48%
04/23/2025,"4,150","4,080","4,170","4,030",128.95M,3.49%
04/22/2025,"4,010","3,990","4,050","3,960",84.00M,0.50%
04/21/2025,"3,990","4,040","4,050","3,950",67.07M,-1.24%
04/17/2025,"4,040","4,110","4,150","4,040",68.39M,-1.46%
04/16/2025,"4,100","4,280","4,290","4,090",109.75M,-4.21%
04/15/2025,"4,280","4,280","4,350","4,270",156.49M,-5.93%
04/14/2025,"4,550","4,450","4,550","4,440",162.13M,3.64%
04/11/2025,"4,390","4,240","4,400","4,200",90.24M,3.05%
04/10/2025,"4,260","4,380","4,400","4,220",131.18M,5.45%
04/09/2025,"4,040","4,030","4,140","3,970",81.41M,0.25%
04/08/2025,"4,030","3,680","4,080","3,610",185.28M,-4.95%
03/27/2025,"4,240","4,250","4,280","4,110",101.19M,-0.24%
03/26/2025,"4,250","4,010","4,280","4,000",229.42M,8.97%
03/25/2025,"3,900","3,770","3,930","3,740",157.67M,4.84%
03/24/2025,"3,720","3,770","3,830","3,630",135.66M,-1.33%
03/21/2025,"3,770","4,080","4,090","3,770",246.73M,-7.60%
03/20/2025,"4,080","4,240","4,270","4,050",109.60M,-2.16%
03/19/2025,"4,170","4,190","4,250","4,120",110.42M,-0.48%
03/18/2025,"4,190","4,300","4,310","4,030",80.14M,-3.23%
03/17/2025,"4,330","4,430","4,460","4,260",60.91M,-2.26%
03/14/2025,"4,430","4,470","4,520","4,400",50.34M,-2.21%
03/13/2025,"4,530","4,600","4,600","4,440",48.95M,0.00%
03/12/2025,"4,530","4,490","4,550","4,480",44.66M,1.80%
03/11/2025,"4,450","4,380","4,460","4,360",44.32M,0.00%
03/10/2025,"4,450","4,540","4,540","4,410",43.04M,-1.98%
03/07/2025,"4,540","4,590","4,590","4,460",61.63M,-1.09%
03/06/2025,"4,590","4,550","4,700","4,540",104.23M,2.91%
03/05/2025,"4,460","4,250","4,540","4,250",102.00M,5.69%
03/04/2025,"4,220","4,240","4,290","4,170",71.34M,-0.94%
03/03/2025,"4,260","4,180","4,310","4,120",156.62M,5.71%
02/28/2025,"4,030","4,270","4,270","4,010",156.57M,-7.14%
02/27/2025,"4,340","4,350","4,370","4,200",58.36M,-0.23%
02/26/2025,"4,350","4,250","4,350","4,210",42.11M,2.84%
02/25/2025,"4,230","4,230","4,280","4,110",45.78M,0.71%
02/24/2025,"4,200","4,300","4,320","4,200",61.47M,-2.33%
02/21/2025,"4,300","4,410","4,440","4,300",70.12M,-3.59%
02/20/2025,"4,460","4,520","4,550","4,400",49.47M,-1.33%
02/19/2025,"4,520","4,750","4,750","4,480",72.33M,-4.84%
02/18/2025,"4,750","4,600","4,750","4,600",73.99M,3.94%
02/17/2025,"4,570","4,370","4,590","4,350",52.49M,4.58%
02/14/2025,"4,370","4,310","4,390","4,300",61.93M,2.82%
02/13/2025,"4,250","4,280","4,300","4,210",38.17M,-1.16%
02/12/2025,"4,300","4,130","4,300","4,100",57.78M,5.65%
02/11/2025,"4,070","4,150","4,170","4,050",52.99M,-1.93%
02/10/2025,"4,150","4,270","4,310","4,150",46.86M,-2.81%
02/07/2025,"4,270","4,250","4,350","4,160",69.27M,-0.47%
02/06/2025,"4,290","4,500","4,510","4,260",72.52M,-4.67%
02/05/2025,"4,500","4,650","4,680","4,480",52.08M,-4.26%
02/04/2025,"4,700","4,770","4,780","4,700",44.27M,-1.67%
02/03/2025,"4,780","4,770","4,800","4,640",63.07M,0.21%
01/31/2025,"4,770","4,660","4,880","4,660",78.96M,2.80%
01/30/2025,"4,640","4,610","4,670","4,580",23.98M,0.65%
01/24/2025,"4,610","4,660","4,700","4,610",42.14M,-0.86%
01/23/2025,"4,650","4,790","4,820","4,650",86.70M,-2.92%
01/22/2025,"4,790","4,790","4,810","4,760",55.90M,1.05%
01/21/2025,"4,740","4,690","4,820","4,650",96.01M,2.60%
01/20/2025,"4,620","4,520","4,660","4,490",67.69M,3.36%
01/17/2025,"4,470","4,450","4,570","4,380",40.13M,-0.67%
01/16/2025,"4,500","4,600","4,600","4,480",113.85M,2.04%
01/15/2025,"4,410","4,150","4,430","4,150",82.04M,6.78%
01/14/2025,"4,130","4,170","4,240","4,110",71.57M,-1.90%
01/13/2025,"4,210","4,320","4,330","4,200",54.03M,-3.22%
01/10/2025,"4,350","4,380","4,420","4,350",28.24M,-0.68%
01/09/2025,"4,380","4,360","4,410","4,350",25.55M,0.23%
01/08/2025,"4,370","4,350","4,430","4,350",39.48M,0.23%
01/07/2025,"4,360","4,370","4,410","4,340",36.97M,-1.58%
01/06/2025,"4,430","4,550","4,560","4,410",26.01M,-2.42%
01/03/2025,"4,540","4,600","4,630","4,540",76.39M,-1.09%
01/02/2025,"4,590","4,360","4,590","4,360",56.99M,5.52%
12/30/2024,"4,350","4,340","4,380","4,270",43.90M,-0.23%
12/27/2024,"4,360","4,380","4,430","4,360",22.84M,-0.46%
12/24/2024,"4,380","4,380","4,400","4,340",21.46M,0.00%
12/23/2024,"4,380","4,320","4,390","4,320",43.67M,2.82%
12/20/2024,"4,260","4,330","4,360","4,260",83.87M,-1.16%
12/19/2024,"4,310","4,360","4,370","4,300",71.25M,-2.71%
12/18/2024,"4,430","4,470","4,530","4,410",56.47M,-0.89%
12/17/2024,"4,470","4,620","4,640","4,430",119.87M,-3.66%
12/16/2024,"4,640","4,610","4,720","4,600",83.74M,-1.90%
12/13/2024,"4,730","4,800","4,830","4,720",72.85M,-3.07%
12/12/2024,"4,880","5,025","5,025","4,880",45.91M,-3.84%
12/11/2024,"5,075","5,050","5,175","5,050",39.77M,-0.49%
12/10/2024,"5,100","4,990","5,100","4,930",39.16M,2.00%
12/09/2024,"5,000","4,890","5,050","4,880",43.94M,2.88%
12/06/2024,"4,860","4,820","4,880","4,780",25.74M,0.83%
12/05/2024,"4,820","4,950","4,950","4,810",33.54M,-2.63%
12/04/2024,"4,950","4,800","4,980","4,790",46.94M,3.56%
12/03/2024,"4,780","4,740","4,840","4,730",60.10M,1.49%
12/02/2024,"4,710","4,980","5,000","4,710",49.32M,-5.42%
11/29/2024,"4,980","5,025","5,050","4,940",48.89M,-0.90%
11/28/2024,"5,025","5,025","5,075","4,950",28.34M,1.52%
11/26/2024,"4,950","5,025","5,050","4,950",37.32M,-0.80%
11/25/2024,"4,990","4,850","5,075","4,840",98.41M,3.10%
11/22/2024,"4,840","4,750","4,860","4,740",50.26M,2.54%
11/21/2024,"4,720","4,820","4,850","4,710",45.73M,-2.68%
11/20/2024,"4,850","4,870","4,900","4,800",24.69M,0.00%
11/19/2024,"4,850","4,860","4,890","4,800",28.27M,-0.41%
11/18/2024,"4,870","4,930","4,930","4,830",22.62M,-0.81%
11/15/2024,"4,910","4,920","4,940","4,870",32.79M,-0.81%
11/14/2024,"4,950","4,960","4,970","4,910",33.43M,-0.20%
11/13/2024,"4,960","4,930","5,025","4,910",64.55M,0.61%
11/12/2024,"4,930","4,960","5,000","4,870",70.22M,-1.20%
11/11/2024,"4,990","4,950","5,025","4,800",44.03M,0.20%
11/08/2024,"4,980","5,075","5,125","4,970",51.15M,-0.90%
11/07/2024,"5,025","5,150","5,175","5,025",63.75M,-1.95%
11/06/2024,"5,125","5,425","5,425","5,100",67.21M,-5.09%
11/05/2024,"5,400","5,275","5,450","5,250",32.45M,1.89%
11/04/2024,"5,300","5,225","5,325","5,150",31.67M,1.92%
11/01/2024,"5,200","5,250","5,250","5,175",21.87M,-0.95%
10/31/2024,"5,250","5,200","5,300","5,175",50.04M,0.48%
10/30/2024,"5,225","5,300","5,325","5,200",58.41M,-1.42%
10/29/2024,"5,300","5,400","5,500","5,275",77.07M,-3.64%
10/28/2024,"5,500","5,650","5,675","5,425",48.52M,-2.65%
10/25/2024,"5,650","5,625","5,650","5,550",20.20M,0.44%
10/24/2024,"5,625","5,650","5,700","5,625",26.45M,-0.88%
10/23/2024,"5,675","5,675","5,675","5,600",63.16M,0.44%
10/22/2024,"5,650","5,650","5,675","5,575",59.96M,0.44%
10/21/2024,"5,625","5,700","5,750","5,600",50.98M,-0.44%
10/18/2024,"5,650","5,550","5,650","5,550",58.87M,2.73%
10/17/2024,"5,500","5,500","5,575","5,475",48.57M,0.46%
10/16/2024,"5,475","5,500","5,500","5,450",26.63M,-0.45%
10/15/2024,"5,500","5,450","5,525","5,425",44.25M,1.38%
10/14/2024,"5,425","5,375","5,450","5,375",36.81M,0.93%
10/11/2024,"5,375","5,425","5,425","5,325",14.49M,0.94%
10/10/2024,"5,325","5,350","5,400","5,325",25.89M,0.00%
10/09/2024,"5,325","5,350","5,425","5,275",70.83M,-0.47%
10/08/2024,"5,350","5,150","5,400","5,100",90.69M,2.88%
10/07/2024,"5,200","5,325","5,350","5,200",52.62M,-2.35%
10/04/2024,"5,325","5,400","5,425","5,250",35.82M,-0.93%
10/03/2024,"5,375","5,375","5,400","5,300",42.60M,0.47%
10/02/2024,"5,350","5,325","5,400","5,300",27.72M,-0.47%
10/01/2024,"5,375","5,375","5,450","5,350",40.09M,0.47%
09/30/2024,"5,350","5,400","5,450","5,325",69.42M,-1.83%
09/27/2024,"5,450","5,600","5,600","5,400",79.72M,-2.68%
09/26/2024,"5,600","5,600","5,625","5,450",59.31M,0.00%
09/25/2024,"5,600","5,750","5,750","5,450",120.89M,-3.45%
09/24/2024,"5,800","5,800","5,825","5,750",39.90M,0.00%
09/23/2024,"5,800","5,750","5,850","5,725",48.01M,0.87%
09/20/2024,"5,750","5,825","5,825","5,750",47.67M,-1.29%
09/19/2024,"5,825","5,800","5,850","5,750",93.85M,2.19%
09/18/2024,"5,700","5,700","5,700","5,600",64.49M,0.88%
09/17/2024,"5,650","5,600","5,700","5,600",40.78M,0.44%
09/13/2024,"5,625","5,600","5,650","5,575",34.31M,0.45%
09/12/2024,"5,600","5,625","5,650","5,575",43.32M,-0.88%
09/11/2024,"5,650","5,700","5,750","5,650",33.79M,-0.88%
09/10/2024,"5,700","5,750","5,775","5,700",55.03M,-0.44%
09/09/2024,"5,725","5,650","5,750","5,625",78.83M,1.33%
09/06/2024,"5,650","5,500","5,675","5,475",139.37M,3.67%
09/05/2024,"5,450","5,375","5,450","5,350",62.22M,1.87%
09/04/2024,"5,350","5,325","5,375","5,300",47.28M,-0.47%
09/03/2024,"5,375","5,375","5,400","5,325",20.29M,0.47%
09/02/2024,"5,350","5,350","5,400","5,325",22.99M,0.00%
08/30/2024,"5,350","5,300","5,400","5,300",86.72M,0.94%
08/29/2024,"5,300","5,425","5,425","5,300",40.75M,-1.40%
08/28/2024,"5,375","5,400","5,425","5,275",48.48M,-0.46%
08/27/2024,"5,400","5,525","5,550","5,350",57.14M,-2.26%
08/26/2024,"5,525","5,450","5,550","5,450",68.44M,1.38%
08/23/2024,"5,450","5,300","5,500","5,300",69.91M,3.32%
08/22/2024,"5,275","5,425","5,425","5,225",72.63M,-3.21%
08/21/2024,"5,450","5,475","5,550","5,425",92.70M,-0.46%
08/20/2024,"5,475","5,375","5,500","5,375",69.98M,2.34%
08/19/2024,"5,350","5,300","5,450","5,275",55.66M,0.94%
08/16/2024,"5,300","5,300","5,350","5,275",33.60M,0.95%
08/15/2024,"5,250","5,300","5,325","5,225",33.03M,-0.47%
08/14/2024,"5,275","5,250","5,375","5,225",93.11M,1.93%
08/13/2024,"5,175","5,175","5,200","5,125",26.20M,0.98%
08/12/2024,"5,125","5,150","5,150","5,075",14.30M,0.00%
08/09/2024,"5,125","5,050","5,200","5,050",33.03M,1.99%
08/08/2024,"5,025","5,000","5,100","4,970",51.49M,0.50%
08/07/2024,"5,000","5,025","5,050","4,980",32.56M,-0.50%
08/06/2024,"5,025","5,000","5,075","4,940",51.83M,1.31%
08/05/2024,"4,960","5,025","5,050","4,880",65.49M,-2.75%
08/02/2024,"5,100","5,050","5,150","5,025",75.96M,0.49%
08/01/2024,"5,075","4,940","5,075","4,940",54.21M,2.11%
07/31/2024,"4,970","4,970","5,025","4,920",34.11M,0.40%
07/30/2024,"4,950","5,000","5,000","4,950",36.83M,-1.49%
07/29/2024,"5,025","5,025","5,050","5,000",19.85M,0.50%
07/26/2024,"5,000","5,000","5,075","4,990",41.98M,-0.50%
07/25/2024,"5,025","5,050","5,075","4,980",52.46M,-1.47%
07/24/2024,"5,100","5,050","5,100","5,000",23.44M,0.99%
07/23/2024,"5,050","5,100","5,125","5,050",30.55M,-0.98%
07/22/2024,"5,100","5,125","5,150","5,050",32.38M,0.00%
07/19/2024,"5,100","5,075","5,100","5,025",66.91M,0.49%
07/18/2024,"5,075","4,990","5,125","4,990",86.13M,1.50%
07/17/2024,"5,000","5,050","5,075","5,000",59.62M,0.40%
07/16/2024,"4,980","5,050","5,050","4,980",66.37M,-0.90%
07/15/2024,"5,025","5,050","5,075","4,980",94.79M,0.00%
07/12/2024,"5,025","4,920","5,125","4,920",158.76M,3.18%
07/11/2024,"4,870","4,850","4,880","4,830",37.57M,1.04%
07/10/2024,"4,820","4,850","4,900","4,820",48.70M,-0.82%
07/09/2024,"4,860","4,670","4,870","4,670",87.46M,4.07%
07/08/2024,"4,670","4,730","4,740","4,670",36.00M,-0.64%
07/05/2024,"4,700","4,730","4,780","4,690",67.59M,-0.21%
07/04/2024,"4,710","4,690","4,770","4,660",61.44M,1.29%
07/03/2024,"4,650","4,730","4,740","4,630",41.53M,-1.27%
07/02/2024,"4,710","4,710","4,730","4,670",35.14M,0.00%
07/01/2024,"4,710","4,690","4,720","4,650",43.25M,1.07%
06/28/2024,"4,660","4,590","4,740","4,590",95.38M,1.75%
06/27/2024,"4,580","4,450","4,610","4,430",85.46M,3.62%
06/26/2024,"4,420","4,480","4,530","4,420",34.06M,-1.34%
06/25/2024,"4,480","4,520","4,530","4,420",44.86M,-1.32%
06/24/2024,"4,540","4,540","4,600","4,460",49.11M,0.00%
06/21/2024,"4,540","4,400","4,610","4,400",109.31M,3.18%
06/20/2024,"4,400","4,320","4,410","4,300",50.58M,2.33%
06/19/2024,"4,300","4,310","4,390","4,260",60.37M,-0.23%
06/14/2024,"4,310","4,480","4,480","4,310",65.05M,-3.79%
06/13/2024,"4,480","4,500","4,520","4,460",47.76M,1.13%
06/12/2024,"4,430","4,430","4,460","4,410",112.78M,-1.12%
06/11/2024,"4,480","4,560","4,630","4,480",95.29M,-2.82%
06/10/2024,"4,610","4,650","4,660","4,550",65.70M,-1.91%
06/07/2024,"4,700","4,770","4,780","4,660",45.58M,-1.47%
06/06/2024,"4,770","4,670","4,770","4,630",69.15M,3.47%
06/05/2024,"4,610","4,630","4,660","4,580",48.31M,-0.65%
06/04/2024,"4,640","4,650","4,700","4,600",52.89M,0.43%
06/03/2024,"4,620","4,460","4,640","4,450",53.87M,5.00%
05/31/2024,"4,400","4,540","4,570","4,400",145.98M,-2.00%
05/30/2024,"4,490","4,500","4,560","4,370",81.61M,-0.88%
05/29/2024,"4,530","4,680","4,690","4,500",111.83M,-3.82%
05/28/2024,"4,710","4,700","4,790","4,690",25.80M,0.86%
05/27/2024,"4,670","4,770","4,790","4,630",60.50M,-1.89%
05/22/2024,"4,760","4,720","4,800","4,720",60.86M,-0.21%
05/21/2024,"4,770","4,980","4,990","4,760",87.95M,-4.22%
05/20/2024,"4,980","5,200","5,250","4,950",76.61M,-3.77%
05/17/2024,"5,175","5,200","5,275","5,125",67.68M,-0.48%
05/16/2024,"5,200","5,125","5,275","5,100",118.38M,3.48%
05/15/2024,"5,025","4,880","5,100","4,850",85.73M,1.93%
05/14/2024,"4,930","4,790","4,940","4,780",70.01M,3.14%
05/13/2024,"4,780","4,600","4,780","4,600",54.33M,2.36%
05/08/2024,"4,670","4,680","4,770","4,620",58.55M,-0.64%
05/07/2024,"4,700","4,790","4,810","4,680",82.58M,-2.29%
05/06/2024,"4,810","4,880","4,890","4,800",81.86M,-0.41%
05/03/2024,"4,830","4,850","4,880","4,750",89.52M,0.00%
05/02/2024,"4,830","5,200","5,250","4,810",183.46M,-8.00%
04/30/2024,"5,250","5,325","5,350","5,225",73.66M,0.48%
04/29/2024,"5,225","5,125","5,225","5,050",41.07M,1.46%
04/26/2024,"5,150","5,200","5,275","5,100",80.48M,-2.83%
04/25/2024,"5,300","5,300","5,325","5,225",35.92M,0.00%
04/24/2024,"5,300","5,300","5,350","5,200",44.77M,0.95%
04/23/2024,"5,250","5,375","5,425","5,250",46.19M,-1.87%
04/22/2024,"5,350","5,250","5,350","5,150",62.51M,2.39%
04/19/2024,"5,225","5,250","5,275","5,175",52.52M,-1.42%
04/18/2024,"5,300","5,250","5,350","5,250",57.79M,0.95%
04/17/2024,"5,250","5,250","5,350","5,250",68.95M,0.96%
04/16/2024,"5,200","5,075","5,300","5,050",164.12M,-1.89%
04/05/2024,"5,300","5,325","5,375","5,300",36.82M,-0.93%
04/04/2024,"5,350","5,250","5,375","5,250",163.73M,0.47%
04/03/2024,"5,325","5,450","5,525","5,225",126.99M,-2.74%
04/02/2024,"5,475","5,625","5,625","5,425",121.16M,-3.10%
04/01/2024,"5,650","5,900","5,900","5,550",100.17M,-4.24%
